epoch,best,mean,std
0,9751.38448989732,6207.31790284696,1565.125514823842
1,9751.38448989732,6561.508606475528,1833.0785383618065
2,9751.38448989732,6948.064340865554,1961.9357472658178
3,9964.647090412574,7675.57429470738,1766.2929262401417
4,11046.002269221042,7619.683582922007,2099.879379350381
5,11046.002269221042,7634.9499120012115,2147.663387096239
6,11046.002269221042,8133.3486157301195,2076.9243042310545
7,11046.002269221042,9046.876088878533,1892.8329303595153
8,11368.308773940054,9676.801512521182,1564.4599637515848
9,11918.578987580793,10264.307982468119,1187.0267981461034
10,11918.578987580793,10136.413416254962,1673.4435743971578
11,11918.578987580793,10515.041931634929,1070.4095036959914
12,11918.578987580793,10702.170905314679,1055.4131507906711
13,12485.160516629769,10925.332111169502,1026.405107797318
14,12485.160516629769,11178.234859358703,943.5023838780576
15,12682.479944022472,11248.18167763872,1366.1448142117822
16,12740.667111757897,11513.14310946254,1038.7411314450126
17,12740.667111757897,11215.034500004223,1845.8616188234118
18,13249.009557457262,11580.316990397703,1495.0664366480983
19,13249.06140391457,11924.561961733043,941.4915247180096
20,13249.06140391457,12050.715063351821,955.7999183965217
21,13319.186500024745,12446.878890595732,545.3823980485172
22,13365.667867639959,12364.449356575828,887.6174151602356
23,13365.667867639959,12462.91050882261,875.3613378122096
24,13367.153031258877,12524.533972570971,813.0770625690877
25,13367.153031258877,10776.255409217556,3305.41597249017
26,13367.153031258877,11771.482619322072,2391.6003028350656
27,13435.732788902338,12730.482596165559,891.5944241760449
28,13447.236714616247,13025.143938265732,752.3133873393537
29,13553.975875334629,12865.967260822186,1046.1745839990497
30,13553.975875334629,13072.566846213518,734.7352985278086
31,13553.975875334629,12717.842443362271,1252.8930323533525
32,13738.002296462018,12891.683640297719,962.2565599174688
33,13738.002296462018,13248.457360270713,663.5642466094173
34,13752.0216168741,13376.547526966557,261.8304095903872
35,13756.243313605446,13180.619869900782,700.4645913359086
36,13756.243313605446,12925.43872438241,1032.1050085589054
37,13756.261119835546,13178.228179249512,724.0158030917104
38,13756.678978135626,13279.568377168249,762.913900524859
39,13756.678978135626,13359.989747917587,710.8357802269019
40,13989.166433462313,13405.913769208715,744.1163471660556
41,13991.144691770167,13389.785820398563,798.5140436547678
42,13991.144691770167,13557.297057485668,683.173576875377
43,13991.144691770167,13377.992382613565,821.5455716834896
44,13991.144691770167,13267.858089387144,911.200297753819
45,13991.173709579962,13208.793450078601,907.7593341380569
46,13991.173709579962,13332.038718229811,773.0759123434442
47,14040.44111812123,13170.121339032728,1284.2318146554467
48,14040.44111812123,13361.802374890862,1015.6247281327161
49,14265.068037068953,13179.942798099532,1213.4622122839091
50,14265.068037068953,13336.59298404091,1235.8626802226909
51,14265.068037068953,13593.041749588938,884.6904225521685
52,14365.424034267468,13559.524719565674,972.6317260575493
53,14365.424034267468,13857.193799932353,471.8867485768985
54,14365.633888380959,13841.95925348922,542.9157531233933
55,14365.633888380959,13737.693489970105,1003.2224478295635
56,14365.633888380959,13835.783188512049,720.3731102200485
57,14366.966628045146,14008.552830283217,462.83331705714005
58,14673.463078226452,14051.345190355503,442.4471136973631
59,14673.463078226452,14069.156179243382,412.520333676466
60,14673.463078226452,14162.777518834919,352.3184030718337
61,14678.070019955108,13871.786041289371,1059.720728524025
62,14678.070019955108,13932.225854458738,749.0404324157415
63,14678.070019955108,14108.559981343136,696.463698906256
64,14678.070019955108,14092.709687723369,770.3993565151625
65,14678.070019955108,14137.100512928208,858.0637943909002
66,14678.070019955108,14232.1125363043,787.2468272244677
67,14678.070019955108,14476.477952072586,529.9104309559099
68,14678.070019955108,14370.170972472151,494.2768885264772
69,14678.070019955108,14499.050737304016,412.56718794422727
70,14678.070019955108,14593.379657538035,325.33775096574755
71,14682.425988896397,14572.587097877577,422.0133600836507
72,14714.430507735706,14664.008177406393,89.57353868859157
73,14714.430507735706,14608.834251673059,679.8438420276425
74,14714.430507735706,14651.419034491184,258.5231907275392
75,14714.430507735706,14438.230011217373,813.8457411558552
76,14717.131270275355,14565.000451944017,439.32520433230593
77,14717.131270275355,14581.118093066643,426.79789761673226
78,14717.131270275355,14408.028563948987,923.259056457717
79,14717.131270275355,14312.806532388493,1023.0351117577792
80,14717.131270275355,13946.48416326515,1695.8306250673324
81,14721.073798135434,14251.710306386778,1273.5691916229052
82,14721.073798135434,14335.809367175416,1249.32094405527
83,14732.448934472515,14178.057407533948,1550.1403256892727
84,14733.57219664572,14470.497601994555,864.9135422613066
85,14733.57219664572,14254.854633609293,781.3157626972338
86,14733.57219664572,14039.12627675637,875.9963372516503
87,14733.57219664572,13908.068429689794,1142.281659358827
88,14733.57219664572,14297.602214018532,758.7521714307387
89,14734.147621450955,14291.788114109797,684.1406352694809
90,14736.463541451436,14227.924732093159,1169.6724575083083
91,14736.463541451436,14506.880123195493,516.7527611274896
92,14736.463541451436,14516.035817634565,503.00671966865997
93,14736.463541451436,14498.213790766322,496.35413320553596
94,14737.19118722805,14249.650722915947,821.7184523885554
95,14787.72860156551,14373.146299043678,722.3634207312984
96,14787.72860156551,14333.489032073983,750.6847484045189
97,14787.72860156551,13848.999913786436,1544.3666821303282
98,14787.72860156551,13938.383919857233,1421.4657540325404
99,14787.72860156551,14059.533219211507,1207.605139575016
